submodule,feature_index,control_mean,p600_mean,difference,abs_difference
resid_11,2,0.0,0.08280094623565674,0.08280094623565674,0.08280094623565674
resid_11,3,0.0,0.056835334300994876,0.056835334300994876,0.056835334300994876
resid_11,4,0.0,0.0,0.0,0.0
resid_11,5,0.0,0.0,0.0,0.0
resid_11,6,0.0,0.0,0.0,0.0
resid_11,7,0.0,0.06760988235473633,0.06760988235473633,0.06760988235473633
resid_11,8,0.0,0.0,0.0,0.0
resid_11,9,0.0,0.0,0.0,0.0
resid_11,10,0.0,0.0,0.0,0.0
resid_11,11,0.0,0.0,0.0,0.0
resid_11,12,0.0,0.0,0.0,0.0
resid_11,13,0.0,0.0,0.0,0.0
resid_11,14,0.0,0.0,0.0,0.0
resid_11,15,0.0,0.0,0.0,0.0
resid_11,16,0.0,0.0,0.0,0.0
